2006/01/12,06:48:17.81 30.4500 138.6335 479.00 4.2 NEAR_TORISHIMA_IS 136;27 72;45 48;154 1.20e+16 480 4.7 57.22 0.5236 -0.2818 0.6082 -1.0633 0.3736 0.5397 1e+16 2
2006/01/12,13:47:37.99 24.2390 125.1893 0.00 3.7 NEAR_MIYAKOJIMA_ISLAND 30;271 79;21 72;149 3.02e+14 20 3.6 79.61 -0.7846 1.3403 1.4399 -0.0315 -2.2314 0.8161 1e+14 1
2006/01/12,18:37:53.78 29.2943 127.8338 243.00 4.1 NW_OFF_AMAMI-OSHIMA_IS 183;337 68;24 -80;-114 1.50e+15 280 4.1 65.96 0.1493 0.1894 0.2042 0.9552 -1.0540 -1.1045 1e+15 3
2006/01/12,20:16:17.96 24.8393 140.7957 57.00 4.9 IWOJIMA_ISLANDS_REGION 223;85 66;31 69;128 1.98e+15 101 4.2 80.35 -1.2893 0.8055 -0.6593 -0.0735 1.0490 1.3627 1e+15 1
2006/01/12,21:20:52.89 27.1402 140.6277 433.00 4.5 W_OFF_OGASAWARA 49;216 72;19 -86;-102 5.22e+15 400 4.4 52.37 1.4874 -1.2969 -3.2317 1.8328 2.6423 -3.3203 1e+15 3
2006/01/13,08:47:52.53 42.0350 142.5978 60.78 3.9 S_OFF_URAKAWA 25;237 69;25 77;120 1.87e+15 59 4.1 89.29 -0.5016 0.7281 0.4212 -0.7286 -1.2800 1.2302 1e+15 3
2006/01/14,00:04:02.20 34.0873 141.8262 36.46 3.7 FAR_SE_OFF_BOSO_PEN 15;163 55;39 110;64 9.82e+14 5 4.0 59.11 0.6265 -0.1451 2.7445 -9.3650 -2.6015 8.7385 1e+14 3
2006/01/14,00:35:27.72 43.0932 147.0813 51.92 3.7 E_OFF_HOKKAIDO 240;137 76;49 -137;-19 2.55e+14 11 3.6 60.44 2.2195 0.5339 1.1110 -1.3850 -1.1123 -0.8344 1e+14 3
2006/01/14,01:59:57.20 23.7998 122.9017 53.72 3.9 NEAR_ISHIGAKIJIMA_ISLAND 144;37 66;57 36;151 1.26e+15 35 4.0 74.11 0.6942 0.0226 0.6260 -1.2526 0.1612 0.5584 1e+15 3
2006/01/14,02:31:25.54 37.7828 142.3077 36.26 3.5 SE_OFF_MIYAGI_PREF 43;187 59;37 111;60 1.89e+14 35 3.5 51.67 -0.2389 0.6598 0.8723 -1.3787 -0.3317 1.6176 1e+14 2
2006/01/14,15:30:09.34 36.1878 140.0273 52.43 4.3 SW_IBARAKI_PREF 53;245 66;24 85;101 2.87e+15 59 4.3 93.28 -1.5851 0.9567 1.4785 -0.5347 -1.2263 2.1198 1e+15 3
2006/01/15,07:15:49.55 33.4837 141.1785 51.00 3.7 E_OFF_HACHIJOJIMA_ISLAND 322;209 68;48 47;149 7.00e+14 41 3.9 71.98 3.0513 -0.8965 -3.3443 -6.7078 -1.8123 3.6565 1e+14 3
2006/01/15,09:07:54.32 26.3193 127.3563 50.12 3.6 NEAR_OKINAWAJIMA_ISLAND 192;289 76;66 -25;-165 1.44e+14 32 3.4 72.85 -0.5404 1.0793 0.4881 0.7562 -0.4667 -0.2158 1e+14 1
2006/01/15,17:33:47.82 24.7413 127.8568 69.00 3.5 FAR_S_OFF_OKINAWAJIMA 233;39 57;34 -82;-102 5.79e+14 8 3.8 62.69 2.7685 -2.2521 2.2190 2.7408 -1.0143 -5.5094 1e+14 2
2006/01/15,19:54:15.79 35.4575 136.2502 34.90 3.7 SHIGA_GIFU_BORDER_REGION 18;167 68;26 -77;-119 1.90e+14 35 3.5 79.43 -0.1283 -0.0776 -0.5597 1.4128 1.2019 -1.2845 1e+14 3
2006/01/16,01:47:01.61 43.5265 146.7470 38.35 3.7 E_OFF_HOKKAIDO 289;162 61;42 58;134 3.50e+14 38 3.7 64.51 -1.1882 -1.9317 -1.8731 -1.3534 0.4458 2.5415 1e+14 3
2006/01/16,07:53:57.35 36.5447 140.9102 49.14 4.0 E_OFF_IBARAKI_PREF 196;99 83;45 -134;-10 6.28e+14 41 3.8 90.01 2.5764 -3.7335 0.0563 -1.6338 -4.5881 -0.9427 1e+14 3
2006/01/16,16:38:12.54 41.4768 142.0065 63.36 3.6 E_OFF_AOMORI_PREF 21;138 82;17 105;29 6.08e+14 47 3.8 59.38 0.5353 -0.7924 2.3198 -2.2977 -5.1744 1.7624 1e+14 3
2006/01/17,00:03:44.96 30.1990 139.3687 420.36 5.0 NEAR_TORISHIMA_IS 318;63 78;40 -51;-161 9.14e+15 400 4.6 64.66 6.9710 2.4105 3.7218 -3.9316 5.2472 -3.0394 1e+15 3
2006/01/17,04:26:55.28 31.2925 130.4312 154.34 4.0 SATSUMA_PENINSULA_REGION 334;236 80;49 41;167 1.42e+15 165 4.1 96.21 0.7438 0.5425 -0.6092 -1.0420 -0.6943 0.2982 1e+15 3
2006/01/17,19:19:00.64 40.8337 144.5992 50.00 3.9 FAR_E_OFF_NORTH_HONSHU 13;167 47;47 -71;-109 4.30e+14 11 3.7 53.40 0.0726 0.0148 -1.0930 4.1365 0.0099 -4.2091 1e+14 2
2006/01/18,08:46:35.12 28.7018 129.6402 18.22 3.6 NEAR_AMAMI-OSHIMA_ISLAND 71;341 89;86 -176;-1 1.78e+14 20 3.5 66.03 0.9871 1.4122 -0.1004 -1.1759 0.1029 0.1887 1e+14 3
2006/01/18,11:11:53.79 28.7160 129.6345 17.68 4.8 NEAR_AMAMI-OSHIMA_ISLAND 3;131 64;39 -60;-135 5.24e+15 8 4.4 86.64 0.0754 2.0470 -1.5504 3.6364 2.7330 -3.7118 1e+15 3
2006/01/18,11:38:23.34 28.7098 129.6517 18.76 4.1 NEAR_AMAMI-OSHIMA_ISLAND 176;275 72;63 -28;-160 1.19e+15 11 4.0 80.14 0.1592 1.0225 0.2398 0.2189 -0.4471 -0.3781 1e+15 3
2006/01/18,12:52:51.25 21.6510 144.5475 121.02 6.0 MARIANA_ISLANDS_REGION 76;210 67;31 -68;-131 1.08e+17 113 5.3 85.45 0.5148 -0.5144 -0.7009 0.1910 0.0344 -0.7058 1e+17 1
2006/01/18,23:25:25.64 37.7997 142.2000 35.94 5.7 SE_OFF_MIYAGI_PREF 203;14 63;28 94;82 1.82e+17 17 5.5 90.32 -0.3366 0.3234 -0.4886 -1.2720 0.9313 1.6086 1e+17 3
2006/01/19,02:34:42.99 37.8022 142.1592 34.97 4.2 SE_OFF_MIYAGI_PREF 171;337 65;25 96;77 6.44e+14 20 3.8 69.15 -0.0086 -1.4404 0.4515 -4.6809 4.1670 4.6895 1e+14 3
2006/01/19,06:53:36.16 43.0345 144.7778 84.29 4.2 KUSHIRO_REGION 286;42 78;26 -67;-151 2.31e+15 80 4.2 88.04 1.3289 -0.5142 1.8026 -0.4550 0.6852 -0.8738 1e+15 3
2006/01/20,05:21:29.29 43.4083 146.8968 38.56 4.1 E_OFF_HOKKAIDO 236;140 78;67 -156;-14 2.17e+15 35 4.2 86.58 2.0449 0.5420 0.4188 -1.6816 -0.8072 -0.3633 1e+15 3
2006/01/20,05:44:51.73 24.6175 122.3875 76.27 3.7 NW_OFF_ISHIGAKIJIMA_IS 75;315 68;39 -123;-36 7.90e+14 104 3.9 70.56 6.5295 2.2794 -4.1590 -2.0020 2.5508 -4.5276 1e+14 2
2006/01/20,06:26:06.09 26.8822 129.5315 43.00 3.9 NEAR_OKINAWAJIMA_ISLAND 213;70 58;39 -112;-59 8.92e+14 11 3.9 77.45 4.6113 -5.3448 0.7718 2.4610 -3.5754 -7.0723 1e+14 3
2006/01/20,06:50:44.20 26.2978 127.3312 49.41 3.8 NEAR_OKINAWAJIMA_ISLAND 48;213 70;20 95;76 6.71e+14 59 3.9 67.12 -1.8326 2.0069 3.9935 -2.5341 -3.2709 4.3667 1e+14 2
2006/01/20,18:02:04.65 40.1248 142.4687 34.71 3.8 NE_OFF_IWATE_PREF 245;87 47;45 -105;-74 3.74e+14 35 3.7 57.96 3.3865 -0.8057 -0.0723 0.3485 -0.7893 -3.7351 1e+14 2
2006/01/21,02:01:10.24 37.8362 142.1978 35.24 3.8 SE_OFF_MIYAGI_PREF 78;170 86;62 -28;-176 1.97e+14 29 3.5 56.28 -0.6609 -1.5941 -0.9569 0.6851 -0.0114 -0.0243 1e+14 3
2006/01/21,02:19:21.67 29.1332 130.6650 79.79 3.5 NEAR_AMAMI-OSHIMA_ISLAND 192;282 90;17 -73;-180 3.24e+15 50 4.3 63.29 -0.2346 0.8983 0.6970 0.3073 -3.0231 -0.0727 1e+15 3
2006/01/21,13:14:30.51 44.0782 148.2972 0.00 3.9 SE_OFF_ETOROFU 350;159 74;16 93;79 1.71e+15 5 4.1 50.40 -0.1917 -0.2038 -0.2233 -0.7840 -1.4273 0.9757 1e+15 2
2006/01/21,20:52:11.97 36.6603 141.2645 46.24 3.5 E_OFF_IBARAKI_PREF 49;245 61;30 -98;-76 3.06e+14 53 3.6 71.52 1.8584 -1.0946 -1.0248 0.8178 1.2200 -2.6762 1e+14 1
2006/01/21,23:30:42.09 36.4202 140.7988 46.25 3.9 E_OFF_IBARAKI_PREF 308;206 69;63 29;156 3.46e+14 50 3.7 56.44 2.0232 -1.2364 -1.7101 -3.1126 0.0908 1.0894 1e+14 3
2006/01/22,00:12:52.49 38.0577 144.6282 57.00 3.7 FAR_E_OFF_NORTH_HONSHU 204;22 62;28 -89;-93 2.15e+14 8 3.5 51.93 0.1644 -0.7177 0.5114 1.5487 -1.0831 -1.7131 1e+14 2
2006/01/22,01:01:50.92 35.9950 140.2267 41.58 3.5 SOUTHERN_IBARAKI_PREF 345;146 78;13 -86;-109 3.62e+15 38 4.3 53.01 -0.0466 0.7058 0.8056 1.3876 3.1880 -1.3410 1e+15 2
2006/01/22,11:19:02.21 42.0877 139.1762 20.89 3.8 SW_OFF_HOKKAIDO 53;230 64;26 91;88 5.19e+14 8 3.8 50.96 -2.4899 2.0437 2.6077 -1.5189 -1.9178 4.0088 1e+14 2
2006/01/22,12:05:29.76 24.0638 122.6020 35.00 3.6 NW_OFF_ISHIGAKIJIMA_IS 69;283 78;14 82;123 1.04e+15 26 4.0 79.33 -0.4578 0.0256 0.8684 0.0220 -0.3708 0.4358 1e+15 2
2006/01/22,16:07:38.84 24.0637 122.2595 28.00 5.2 TAIWAN_REGION 335;65 90;81 171;0 2.17e+16 41 4.9 67.37 -1.6132 -1.3525 -0.1201 1.7154 -0.3326 -0.1022 1e+16 3
2006/01/23,13:01:21.89 23.8925 123.6528 30.01 3.9 NEAR_ISHIGAKIJIMA_ISLAND 34;258 51;48 -121;-57 5.30e+14 5 3.8 85.59 3.3519 -2.5530 0.9728 1.2136 2.0149 -4.5655 1e+14 1
2006/01/23,13:18:58.47 24.0960 122.2773 33.00 4.9 TAIWAN_REGION 68;317 82;22 70;158 2.17e+16 35 4.9 83.70 -0.9852 -0.3449 1.7739 0.4185 -0.8449 0.5667 1e+16 3
2006/01/23,13:20:06.54 24.1577 122.3335 25.00 4.5 TAIWAN_REGION 74;246 78;12 92;82 8.94e+15 20 4.6 87.57 -3.1391 1.0979 7.8937 -0.5366 -2.1396 3.6757 1e+15 1
2006/01/24,05:35:40.52 43.3115 146.1948 51.94 4.3 OFF_NEMURO_PENINSULA 227;36 69;21 94;79 9.03e+14 59 3.9 67.24 -2.9515 1.8630 -5.2077 -3.7805 4.3134 6.7321 1e+14 3
2006/01/24,09:36:43.80 25.4998 142.8033 60.00 5.1 IWOJIMA_ISLANDS_REGION 80;189 69;50 137;27 6.31e+16 14 5.2 70.00 -0.8395 3.9341 4.1145 -1.6916 2.1172 2.5311 1e+16 2
2006/01/24,10:07:41.51 25.6218 143.3278 6.00 4.5 IWOJIMA_ISLANDS_REGION 55;162 85;15 104;18 3.44e+15 5 4.3 84.43 0.4473 0.7687 2.6490 -0.8354 -1.9455 0.3881 1e+15 1
2006/01/24,12:06:08.70 34.4425 137.2857 341.98 4.8 ENSYUNADA 357;149 59;34 -75;-114 7.50e+15 340 4.6 91.75 -1.5174 2.5813 -0.1534 7.0445 3.3703 -5.5270 1e+15 3
2006/01/24,21:36:49.10 31.5177 131.9205 24.75 4.2 HYUGANADA_REGION 60;181 72;33 118;35 3.81e+15 29 4.4 83.53 -0.0448 1.4907 2.7645 -2.0396 -0.7110 2.0844 1e+15 3
2006/01/24,23:27:18.70 29.1775 130.1627 57.00 4.4 NEAR_AMAMI-OSHIMA_ISLAND 40;219 67;23 90;89 9.71e+15 38 4.6 85.53 -2.7751 3.6107 4.3510 -4.1142 -5.1308 6.8892 1e+15 3
2006/01/27,00:11:01.11 25.5932 122.2480 212.00 4.6 TAIWAN_REGION 360;247 79;28 65;155 9.15e+15 240 4.6 78.50 -0.4315 3.7363 -1.1935 -2.9550 -7.6437 3.3864 1e+15 3
2006/01/27,01:41:28.23 38.0045 142.6523 31.94 4.3 E_OFF_MIYAGI_PREF 18;205 69;22 87;97 6.88e+14 26 3.9 87.22 -0.5613 1.6267 1.4039 -4.0852 -4.8391 4.6465 1e+14 3
2006/01/27,08:05:23.97 43.4047 146.0542 66.39 4.4 NEAR_KUNASHIRI_ISLAND 229;353 77;22 108;37 5.32e+15 68 4.5 94.51 0.3697 1.3569 -3.6334 -2.5086 2.7946 2.1389 1e+15 3
2006/01/28,23:02:54.66 22.5960 121.4080 89.00 4.1 TAIWAN_REGION 274;122 65;28 -103;-65 1.41e+15 41 4.1 65.95 0.9697 0.3209 0.8938 0.1259 -0.1038 -1.0956 1e+15 3
2006/01/30,02:15:51.53 24.6680 123.9318 70.56 4.2 NW_OFF_ISHIGAKIJIMA_IS 290;178 74;38 56;153 1.50e+15 53 4.1 64.00 -0.1531 -1.0367 -0.9123 -0.4756 -0.3945 0.6287 1e+15 3
2006/01/30,17:37:34.65 36.3535 140.0997 106.89 3.9 SOUTHERN_TOCHIGI_PREF 2;225 51;47 -120;-58 1.38e+15 113 4.1 93.93 0.0007 -0.6155 0.3826 1.1513 0.2598 -1.1520 1e+15 3
2006/01/30,20:14:57.37 37.7640 143.3687 46.00 3.7 FAR_E_OFF_FUKUSHIMA_PREF 55;168 70;43 129;30 2.25e+14 5 3.5 73.70 0.4921 0.8842 1.4818 -1.5975 -0.2922 1.1053 1e+14 3
2006/01/31,00:19:40.23 33.7658 130.1155 13.90 3.8 NW_OFF_KYUSHU 215;124 85;80 -170;-5 6.50e+14 20 3.8 96.35 5.9357 -2.3697 0.1295 -5.9042 -1.2470 -0.0315 1e+14 3
2006/02/01,04:23:58.20 38.3965 142.3087 35.64 4.5 E_OFF_MIYAGI_PREF 18;206 74;16 88;97 5.44e+15 35 4.5 66.68 -0.1220 1.1620 1.4028 -2.6071 -4.3880 2.7290 1e+15 3
2006/02/01,05:02:05.08 30.0847 140.7827 6.00 4.8 NEAR_TORISHIMA_IS 337;158 60;30 -91;-89 5.48e+16 5 5.1 57.88 0.8317 1.5761 1.0931 4.0262 2.4653 -4.8580 1e+16 3
2006/02/01,11:37:25.74 43.0732 146.7595 53.24 4.3 E_OFF_HOKKAIDO 46;158 64;52 136;33 1.71e+15 38 4.1 86.35 0.7626 0.6524 0.5588 -1.7534 -0.2627 0.9908 1e+15 3
2006/02/01,12:15:04.32 33.5098 132.3002 45.54 4.3 IYONADA_SETONAIKAI 179;327 61;33 -73;-118 2.15e+15 44 4.2 93.37 0.3735 0.4893 0.4409 1.5296 -1.1197 -1.9032 1e+15 3
2006/02/01,14:12:43.44 42.9955 138.9195 216.47 3.5 EASTERN_SEA_OF_JAPAN 197;320 76;25 111;35 2.53e+15 250 4.2 57.98 0.2570 -0.4498 -0.9242 -1.4402 1.9009 1.1832 1e+15 2
2006/02/01,20:35:53.06 35.7610 140.0037 101.02 5.1 NORTHERN_CHIBA_PREF 324;232 84;72 -162;-6 5.07e+16 95 5.1 95.20 -4.5256 -1.3184 1.3710 4.6882 0.9339 -0.1626 1e+16 3
2006/02/02,01:24:57.29 31.0360 131.8615 32.58 3.5 SE_OFF_OSUMI_PEN 50;226 55;35 92;87 7.41e+14 26 3.9 63.22 -3.9047 2.8219 2.1560 -3.4340 -1.5601 7.3387 1e+14 3
2006/02/02,01:42:45.83 30.1663 141.3488 68.00 4.0 NEAR_TORISHIMA_IS 163;331 47;43 98;81 4.20e+15 44 4.4 63.94 -0.4616 -1.6188 -0.2806 -3.5952 0.4197 4.0568 1e+15 3
2006/02/03,13:03:59.77 37.8723 141.8815 41.52 4.5 SE_OFF_MIYAGI_PREF 21;179 73;18 97;69 6.10e+15 44 4.5 95.89 -0.4078 0.3863 2.0987 -3.1696 -4.6197 3.5775 1e+15 3
2006/02/03,13:37:35.35 36.2148 141.6110 62.08 5.9 FAR_E_OFF_IBARAKI_PREF 27;224 72;19 85;106 3.90e+17 23 5.7 91.74 -0.6928 1.1955 1.3292 -1.5596 -2.8343 2.2524 1e+17 3
2006/02/03,13:39:25.19 36.2477 141.4772 52.58 4.9 FAR_E_OFF_IBARAKI_PREF 33;197 73;18 95;75 5.91e+16 23 5.1 87.63 -0.5718 1.3040 2.7852 -2.7673 -3.9910 3.3391 1e+16 3
2006/02/03,14:38:08.14 36.2122 141.6023 59.97 4.9 FAR_E_OFF_IBARAKI_PREF 23;206 70;20 89;93 1.34e+16 23 4.7 95.29 -0.1957 0.3011 0.3880 -0.7128 -0.9376 0.9085 1e+16 3
2006/02/03,14:41:37.42 36.2202 141.5807 62.63 5.0 FAR_E_OFF_IBARAKI_PREF 23;203 68;22 90;90 2.28e+16 26 4.9 92.57 -0.2219 0.5667 0.6492 -1.3274 -1.5341 1.5493 1e+16 3
2006/02/03,15:10:03.64 36.2293 141.6122 63.29 5.3 FAR_E_OFF_IBARAKI_PREF 24;223 69;22 83;108 7.77e+16 23 5.2 90.36 -1.7511 2.3324 1.8973 -3.6065 -5.3934 5.3576 1e+16 3
2006/02/03,15:59:52.46 36.2172 141.6898 59.82 4.0 FAR_E_OFF_IBARAKI_PREF 30;220 70;20 87;100 1.19e+15 35 4.0 75.49 -0.0816 0.5292 0.4534 -0.5371 -0.8024 0.6187 1e+15 3
2006/02/04,00:11:55.61 32.0833 129.8798 11.62 5.1 W_OFF_AMAKUSA_ISLAND 292;24 86;66 -24;-176 2.09e+16 5 4.8 95.94 1.5459 -1.3161 0.7762 -1.2387 0.2831 -0.3072 1e+16 3
2006/02/04,23:02:06.37 43.3402 146.7967 45.10 4.7 E_OFF_HOKKAIDO 193;54 68;28 72;127 1.67e+16 41 4.8 92.85 -0.2878 0.6537 -0.0624 -0.8284 1.1582 1.1162 1e+16 3
2006/02/05,06:20:28.25 41.9468 142.3253 68.95 3.6 S_OFF_URAKAWA 25;225 60;31 79;108 6.63e+14 50 3.8 84.14 -2.0126 2.5717 0.7522 -3.7872 -3.3043 5.7998 1e+14 3
2006/02/06,02:43:22.81 41.4282 142.1413 34.82 3.6 E_OFF_AOMORI_PREF 112;204 83;75 -15;-173 4.82e+14 80 3.8 56.77 3.1869 -3.2459 -0.9239 -3.3276 -1.1939 0.1406 1e+14 3
2006/02/06,09:47:10.23 38.9988 142.0638 18.52 3.9 E_OFF_IWATE_PREF 85;187 67;64 151;26 2.67e+14 20 3.6 66.62 -0.4731 2.1483 1.0515 -0.3796 0.9287 0.8526 1e+14 3
