20060502 1640 54.88 36 33.62 121  9.25   7.31   2.41 43  45  4.0 0.04  0.1  0.3  D 235 65 120  0.11  44  0.19 0.56 0.07  15 28 25    21515243
20060502 1640 54.88 36 33.62 121  9.25   7.31   2.41 43  45  4.0 0.04  0.1  0.3  D 165 55  30  0.19  44  0.26 0.63 0.07  13 28 15 *  21515243
20060503 0342 30.19 36 33.44 121  9.13   7.13   2.04 40  55  4.0 0.05  0.2  0.4  D 230 35-160  0.11  40  0.17 0.58 0.00  13 33 20    21515293
20060504 1508 55.67 36 34.65 121 10.18   3.43   2.20 40  51  2.0 0.06  0.1  0.3  D 135 85  10  0.07  43  0.13 0.63 0.00   8 33 25    21515508
20060506 0554 34.10 36 40.32 121 17.77   5.96   2.02 45  42  2.0 0.04  0.1  0.3  D 210 45 160  0.04  45  0.10 0.62 0.07  10 23 20    21515788
20060507 0203 39.77 37 15.37 122  7.35   7.27   2.43 66  32  3.0 0.13  0.2  0.3  D 210 70  90  0.14  72  0.21 0.42 0.01  18 13 15    21515974
20060507 2355 37.85 37 51.77 121 58.30  12.35   2.07 43  54  2.0 0.08  0.2  0.5  D  65 80-170  0.11  33  0.19 0.75 0.06  20 43 45    21516100
20060510 0520 11.54 36 31.47 121  5.63   1.32   2.31 32  64  2.0 0.04  0.1  0.4  D 130 45-100  0.02  32  0.10 0.53 0.00  30  8 60C   21516504
20060511 2320 57.06 36 49.07 121 32.10   4.51   2.55 48  35  3.0 0.08  0.2  0.3  D 135 70  30  0.18  53  0.23 0.67 0.00  10 18 20    21516878
20060511 2320 57.06 36 49.07 121 32.10   4.51   2.55 48  35  3.0 0.08  0.2  0.3  D  35 65-180  0.20  53  0.25 0.70 0.00  13 35 30C*  21516878
20060512 0835  3.59 36 49.13 121 32.37   5.09   3.18 71  34  4.0 0.15  0.2  0.3  L 135 80  60  0.21 110  0.25 0.62 0.24  25 13 15    21516936
