1998/08/14,14:06:53.44 36.2880 137.6283 6.69 4.0 HIDA_MOUNTAINS_REGION 82;174 84;79 169;6 2.35e+15 5 4.2 60.57 0.4031 2.2326 0.4119 -0.7130 0.1372 0.3100 1e+15 3
1998/08/14,19:36:15.04 36.2970 137.6275 6.62 4.4 HIDA_MOUNTAINS_REGION 87;180 83;72 162;8 1.52e+16 8 4.8 87.09 -0.0782 1.4421 0.4212 -0.1920 0.0884 0.2702 1e+16 3
1998/08/14,21:32:13.84 36.3228 137.6308 6.89 3.5 HIDA_MOUNTAINS_REGION 187;93 78;73 17;167 1.50e+15 5 4.1 94.44 -0.2655 1.3609 0.3190 0.2251 0.5011 0.0404 1e+15 3
1998/08/14,23:48:33.65 36.2588 137.6403 8.07 3.5 HIDA_MOUNTAINS_REGION 274;184 89;76 -166;-1 4.10e+14 8 3.7 89.91 -0.7769 3.9239 1.0488 0.4277 -0.1621 0.3493 1e+14 3
1998/08/14,23:52:43.23 36.2555 137.6387 7.69 3.6 HIDA_MOUNTAINS_REGION 271;181 88;62 -152;-2 7.74e+14 5 3.9 92.12 0.0064 6.8343 3.6261 0.4107 0.0989 -0.4171 1e+14 3
1998/08/15,01:31:21.09 36.3310 137.6322 8.05 3.5 HIDA_MOUNTAINS_REGION 175;266 88;86 -4;-178 1.17e+15 5 4.0 90.05 0.1178 1.1557 0.0485 -0.2436 -0.0929 0.1259 1e+15 3
1998/08/16,01:56:07.59 37.2007 140.0098 11.59 3.7 MID_FUKUSHIMA_PREF 162;26 73;23 74;132 5.67e+14 5 3.8 64.60 0.2389 0.4430 1.9298 -3.4073 4.1869 3.1684 1e+14 2
1998/08/16,03:31:08.14 36.3228 137.6303 4.53 5.4 HIDA_MOUNTAINS_REGION 94;184 89;87 177;1 1.17e+17 5 5.3 86.17 -0.2055 1.1545 0.0490 0.1462 0.0188 0.0593 1e+17 3
1998/08/17,10:15:05.56 36.3485 137.6197 6.37 4.3 HIDA_MOUNTAINS_REGION 185;276 89;73 -17;-178 2.00e+16 8 4.8 86.15 -0.3311 1.8810 0.0709 0.4297 -0.5660 -0.0986 1e+16 3
1998/08/22,03:44:11.05 36.2327 137.6622 6.11 3.8 HIDA_MOUNTAINS_REGION 264;170 82;60 -150;-10 2.58e+15 5 4.2 92.12 0.6159 2.1067 1.2412 -0.4627 -0.6793 -0.1533 1e+15 3
1998/08/22,03:55:45.31 36.2340 137.6523 4.32 4.3 HIDA_MOUNTAINS_REGION 75;165 89;81 171;1 9.42e+15 5 4.6 83.56 4.4501 8.1003 1.5117 -4.6402 -0.3021 0.1901 1e+15 3
1998/08/22,04:48:23.43 36.2345 137.6748 8.63 3.8 HIDA_MOUNTAINS_REGION 84;178 85;55 145;6 1.33e+15 5 4.0 92.71 0.0704 1.0731 0.7573 -0.2122 0.0192 0.1418 1e+15 3
1998/08/27,01:24:36.97 36.2670 137.6537 6.30 3.5 HIDA_MOUNTAINS_REGION 265;174 88;64 -154;-2 4.09e+14 11 3.7 82.96 0.3100 3.6064 1.7484 -0.8942 -0.8638 0.5841 1e+14 3
1998/08/27,05:07:54.27 36.2728 137.6358 7.09 3.4 HIDA_MOUNTAINS_REGION 81;174 84;63 152;7 5.90e+14 8 3.8 86.86 0.6880 5.1174 2.5461 -1.8171 -0.3743 1.1290 1e+14 3
1998/08/28,14:13:12.94 36.2585 137.6447 7.42 3.6 HIDA_MOUNTAINS_REGION 82;173 87;59 149;3 1.11e+15 11 4.0 87.58 0.1703 0.9315 0.5481 -0.2856 -0.1050 0.1153 1e+15 3
1998/08/31,23:30:07.19 36.2313 137.6652 9.45 3.6 HIDA_MOUNTAINS_REGION 85;181 82;50 139;11 2.98e+14 11 3.6 86.78 -0.2571 2.3034 1.8227 -0.3944 -0.0935 0.6515 1e+14 3
1998/09/05,10:08:00.86 36.4007 137.6323 5.86 4.4 HIDA_MOUNTAINS_REGION 354;261 82;75 15;172 1.76e+16 8 4.8 91.42 0.2555 1.6328 -0.1630 -0.6544 -0.3710 0.3989 1e+16 3
1998/09/05,12:02:01.38 36.4212 137.6280 3.79 4.3 HIDA_MOUNTAINS_REGION 355;264 84;76 14;174 2.53e+16 8 4.9 91.04 0.2751 2.4075 -0.1535 -0.7299 -0.5462 0.4547 1e+16 3
1998/09/07,16:53:25.28 36.2297 137.6693 8.15 3.7 HIDA_MOUNTAINS_REGION 90;183 86;55 145;5 1.54e+15 11 4.1 92.51 -0.2555 1.2623 0.8666 0.0142 -0.0474 0.2413 1e+15 3
1998/09/18,17:16:11.17 36.3270 137.6537 5.14 4.4 HIDA_MOUNTAINS_REGION 266;174 83;76 -166;-7 1.12e+16 5 4.7 62.02 0.2103 1.0591 0.2535 -0.1389 -0.1522 -0.0714 1e+16 3
1998/09/19,06:19:40.61 36.3200 137.6563 7.31 3.6 HIDA_MOUNTAINS_REGION 291;199 82;77 -167;-8 6.63e+14 8 3.8 83.95 -3.0947 4.9590 1.0644 5.2881 0.1300 -2.1934 1e+14 3
1998/09/19,17:43:12.51 37.4707 138.0755 25.25 3.9 OFF_S_NIIGATA_PREF 58;215 66;26 100;69 2.96e+14 11 3.6 72.25 -1.1614 1.0954 1.7646 -1.0828 -0.8206 2.2442 1e+14 3
1998/09/20,06:53:03.59 36.4352 137.6302 5.39 4.0 HIDA_MOUNTAINS_REGION 180;271 83;77 -13;-173 5.75e+15 8 4.5 95.78 -0.1404 5.5451 0.8154 -0.0511 -1.3498 0.1915 1e+15 3
1998/10/17,03:05:36.86 36.2415 137.6358 8.43 3.3 HIDA_MOUNTAINS_REGION 107;266 51;41 -76;-106 2.46e+14 8 3.6 67.26 2.4149 0.3050 -0.3302 -0.0940 -0.4784 -2.3209 1e+14 3
1998/10/21,16:36:00.09 37.9818 139.2420 13.13 3.9 NE_NIIGATA_PREF 21;174 55;38 106;68 3.21e+14 5 3.6 85.96 0.1741 0.4356 0.8264 -3.0525 -0.7672 2.8784 1e+14 2
1998/11/01,18:02:26.75 37.5323 137.3552 16.35 3.9 OFF_NOTO_PENINSULA 244;18 56;45 121;53 2.34e+14 11 3.5 76.11 -0.7551 1.3273 -0.9644 -1.1329 -0.3133 1.8881 1e+14 2
1998/11/16,08:08:33.67 37.6818 137.4032 14.95 4.7 OFF_NOTO_PENINSULA 74;172 79;53 143;14 1.45e+16 5 4.7 89.63 0.3835 0.9875 0.9265 -0.6263 0.1176 0.2428 1e+16 3
1998/12/05,01:15:18.92 36.0648 139.9378 45.72 3.8 SW_IBARAKI_PREF 50;271 73;23 75;129 8.54e+14 47 3.9 79.09 -4.7954 1.5451 4.6947 -0.1758 -4.9865 4.9711 1e+14 3
1998/12/25,19:39:01.99 37.4000 139.4588 10.73 3.9 WESTERN_FUKUSHIMA_PREF 65;157 87;63 153;4 6.38e+14 5 3.8 87.61 3.8012 3.8699 2.6009 -4.5190 -1.2244 0.7178 1e+14 3
1999/01/11,09:10:39.76 36.0420 136.7490 8.91 4.3 FUKUI_GIFU_BORDER_REGION 160;347 52;39 86;96 4.36e+15 5 4.4 88.45 -0.4522 -1.1183 0.5486 -3.8483 0.8464 4.3005 1e+15 3
