number,name,region,lat,lon,elev,type,status,lasterp
0804-12=,Iwo-jima,Volcano Is-Japan,24.75,141.33,161,Caldera,Historical,D1
1402-18-,Ixtepeque,Guatemala,14.42,-89.68,1292,Lava dome,Holocene,U
0604-11=,Iya,Lesser Sunda Is,-8.88,121.63,637,Stratovolcano,Historical,D1
0603-33=,Iyang-Argapura,Java,-7.97,113.57,3088,Complex volcano,Holocene,U
1403-03=,Izalco,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,D1
1401-082,Iztaccihuatl,Mexico,19.179,-98.642,5230,Stratovolcano,Holocene,U
0803-01=,Izu-Tobu,Honshu-Japan,34.92,139.12,1406,Pyroclastic cone,Historical,D1
0202-165,Izumbwe-Mpoli,Africa-E,-8.93,33.4,1568,Pyroclastic cone,Holocene,U
1202-20-,Jackies Butte,US-Oregon,42.606,-117.589,1420,Volcanic field,Holocene,Unknown
0608-051,Jailolo,Halmahera-Indonesia,1.08,127.42,1130,Stratovolcano,Holocene,U
0703-08=,Jalajala,Luzon-Philippines,14.35,121.33,743,Fumarole field,Fumarolic,Unknown
0201-03=,Jalua,Ethiopia,15.042,39.82,713,Stratovolcano,Holocene,U
1706-01=,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277,Stratovolcano,Historical,D1
1401-004,Jaraguay Volc Field,Mexico,29.33,-114.5,960,Cinder cone,Holocene,U
1202-02-,Jefferson,US-Oregon,44.692,-121.8,3199,Stratovolcano,Varve Count,D6
1005-04-,Jingpohu,China-E,44.08,128.83,500,Volcanic field,Radiocarbon,D7
1401-061,Jocotitlan,Mexico,19.724,-99.757,3900,Stratovolcano,Radiocarbon,D6
1202-19-,Jordan Craters,US-Oregon,43.03,-117.42,1473,Volcanic field,Holocene,U
1404-101,"Joya, La",Nicaragua,11.92,-85.98,300,Fissure vent,Holocene,U
0601-22=,Kaba,Sumatra,-3.52,102.62,1952,Stratovolcano,Historical,D2
0104-03-,Kabargin Oth Group,Georgia,42.55,44,3650,Cinder cone,Holocene,U
0501-002,Kadovar,New Guinea-NE of,-3.62,144.62,365,Stratovolcano,Holocene,U
1101-26-,Kagamil,Aleutian Is,52.97,-169.72,893,Stratovolcano,Historical,D2
1102-25-,Kaguyak,Alaska Peninsula,58.62,-154.05,901,Stratovolcano,Holocene,D7
1302-05-,Kahoolawe,Hawaiian Is,20.57,-156.57,450,Shield volcano,Holocene,Unknown
0401-01=,Kaikohe-Bay of Islands,New Zealand,-35.3,173.9,388,Volcanic field,Radiocarbon,D6
1000-62-,Kaileney,Kamchatka,57.8,160.67,1582,Shield volcano,Holocene,U
0804-10=,Kaitoku Seamount,Volcano Is-Japan,26.122,141.102,-10,Submarine volcano,Historical,D1
0701-061,Kalatungan,Mindanao-Philippines,7.95,124.8,2824,Stratovolcano,Holocene,U
1000-01=,Kambalny,Kamchatka,51.3,156.87,2156,Stratovolcano,Holocene,U
1000-251,Kamen,Kamchatka,56.02,160.593,4585,Stratovolcano,Holocene,U
0603-12=,"Kamojang, Kawah",Java,-7.125,107.8,1730,Stratovolcano,Pleistocene-Fumarol,U
0505-052,Kana Keoki,Solomon Is-SW Pacifi,-8.75,157.03,-700,Submarine volcano,Holocene,U
1101-11-,Kanaga,Aleutian Is,51.92,-177.17,1307,Stratovolcano,Historical,D1
0803-261,Kanpu,Honshu-Japan,39.93,139.88,355,Stratovolcano,Radiocarbon,D7
0103-011,Karacalidag,Turkey,37.67,39.83,1957,Shield volcano,Holocene,U
