> break
   -118.23760000000    32.748100000000
   -118.21720000000    32.733800000000
   -118.20690000000    32.726300000000
   -118.19540000000    32.716000000000
   -118.18260000000    32.702700000000
   -118.16590000000    32.687700000000
   -118.15120000000    32.673800000000
   -118.13650000000    32.662200000000
   -118.12010000000    32.651500000000
   -118.10210000000    32.640300000000
   -118.08080000000    32.626900000000
   -118.06200000000    32.615500000000
   -118.04280000000    32.604300000000
   -118.02690000000    32.593200000000
   -118.01060000000    32.582300000000
   -117.98940000000    32.568700000000
   -117.96630000000    32.554500000000
   -117.94920000000    32.543500000000
   -117.92740000000    32.531500000000
   -117.90240000000    32.517700000000
   -117.87820000000    32.502600000000
   -117.85510000000    32.485600000000
   -117.84050000000    32.474300000000
   -117.82590000000    32.461200000000
   -117.81540000000    32.456800000000
> break
   -118.79870000000    33.559800000000
   -118.77030000000    33.537100000000
   -118.73480000000    33.511100000000
   -118.70210000000    33.480400000000
   -118.68400000000    33.462700000000
   -118.65000000000    33.432400000000
   -118.62480000000    33.411800000000
   -118.60200000000    33.398100000000
> break
   -119.13060000000    33.744800000000
   -119.09860000000    33.719800000000
   -119.06890000000    33.693600000000
   -119.03730000000    33.669700000000
   -119.01340000000    33.654300000000
   -118.98150000000    33.636400000000
   -118.93700000000    33.612000000000
   -118.89360000000    33.580400000000
   -118.85730000000    33.551800000000
   -118.82160000000    33.519900000000
   -118.79700000000    33.499600000000
   -118.77230000000    33.482100000000
> break
   -118.47190000000    33.892100000000
   -118.46400000000    33.878700000000
   -118.45500000000    33.865700000000
   -118.44340000000    33.854500000000
   -118.42950000000    33.843800000000
   -118.41620000000    33.831100000000
   -118.39830000000    33.817500000000
   -118.38230000000    33.806900000000
   -118.36740000000    33.797900000000
   -118.35140000000    33.789700000000
   -118.33170000000    33.778400000000
   -118.31350000000    33.767900000000
   -118.29650000000    33.757100000000
   -118.27780000000    33.747500000000
   -118.25900000000    33.734800000000
   -118.24350000000    33.720600000000
   -118.23050000000    33.707600000000
   -118.21750000000    33.694900000000
   -118.20200000000    33.681000000000
   -118.18800000000    33.666300000000
   -118.17410000000    33.651400000000
   -118.16100000000    33.632500000000
   -118.15030000000    33.615700000000
   -118.13960000000    33.598300000000
   -118.13110000000    33.583000000000
   -118.11600000000    33.562500000000
   -118.10510000000    33.543200000000
   -118.09420000000    33.526100000000
   -118.07950000000    33.506700000000
   -118.06800000000    33.487000000000
   -118.06080000000    33.474200000000
   -118.05020000000    33.455000000000
   -118.03860000000    33.433700000000
   -118.02950000000    33.416600000000
   -118.02030000000    33.399600000000
   -118.01260000000    33.383500000000
   -118.00450000000    33.370700000000
   -117.99500000000    33.360100000000
